text,true_period,prompt,predicted_period
wn.En ḥm =f ḥr pgA zxA.w.PL ḥn3 nn-n smr.PL,New Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: wn.En ḥm =f ḥr pgA zxA.w.PL ḥn3 nn-n smr.PL

Answer:",New Kingdom
Eni̯(.t) ḥm-3A sh(n)ḏ shm3.w mḥ.w,Old Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: Eni̯(.t) ḥm-3A sh(n)ḏ shm3.w mḥ.w

Answer:",Middle Kingdom
Eni̯(.t) ḥm-3A sh(n)ḏ shm3.w mḥ.w,Old Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: Eni̯(.t) ḥm-3A sh(n)ḏ shm3.w mḥ.w

Answer:",Middle Kingdom
ḥA ḏi̯ =tn pA Et 3A m 3.t khtm.tE r Ewi̯.t =n ḥr khni̯.t mḥ.tE,Late Period,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: ḥA ḏi̯ =tn pA Et 3A m 3.t khtm.tE r Ewi̯.t =n ḥr khni̯.t mḥ.tE

Answer:",Late Period
rkh.t-nzw tp=s rn-nḏs nfr-ḥtp-ḥw.t-ḥr.w rn-3A,Old Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: rkh.t-nzw tp=s rn-nḏs nfr-ḥtp-ḥw.t-ḥr.w rn-3A

Answer:",Old Kingdom
Err.t(w) nn ḥr sḥm n(.E) ḥzmn,New Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: Err.t(w) nn ḥr sḥm n(.E) ḥzmn

Answer:",New Kingdom
ḥw.t-zA-ḥA-nb ḥtp rnp.t pr-nzw khnt.E (Em.E)-wr.(t),Old Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: ḥw.t-zA-ḥA-nb ḥtp rnp.t pr-nzw khnt.E (Em.E)-wr.(t)

Answer:",Old Kingdom
Ew qd nfr r skhA.w,New Kingdom,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: Ew qd nfr r skhA.w

Answer:",Middle Kingdom
rkh mnkh =E ḥr Eb =f,Late Period,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: rkh mnkh =E ḥr Eb =f

Answer:",Late Period
Eyi̯.n =E 3A r nEs r =k m wpw.t n.t Et =E kh(w)fw mA3-khrw wnm =k shpss n(.E) ḏḏ nswt ḏfA.w n(.E) Em.E.w.PL-shms.w =f,Late Period,"You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given transliteration. Only respond with the name of the period.

Examples:
Text: ptE Er =f pA Eb E (E)ty 3nkh-(w)ḏA-s(nb) nb =E
Period: Late Period

Text: mri̯ =E Es st nA ḏd.y =k
Period: Late Period

Text: shs.(y)t n.t wAḏ.w ḏAr.t 3sh 3ḏ mrḥ.t
Period: Late Period

Text: 3ḥ3 zA =k ḥr ns.t =k 3pr m Er.w =k
Period: Middle Kingdom

Text: ppy nfr-kA-r3w pw gbb rʾ p3n (E)r(.E)-p3(.t)-ntjr.PL di̯.n (E)tm(.w) khnt psḏ.t ḥtp.w ntjr.PL ḥr ḏd.t =f
Period: Middle Kingdom

Text: zE ḏḥw.tE ḥn3 kA =f
Period: Middle Kingdom

Text: nn khnms n sxi̯ mA3.t
Period: New Kingdom

Text: Eri̯ mA3.t n nb mA3.t n.tE wn mA3.t n.t mA3.t =f
Period: New Kingdom

Text: tr shw.t =k wnn kh.t =k
Period: New Kingdom

Text: Erp Eshd nbs dAb EArr(.w)t sx.t wAḏ(.t)
Period: Old Kingdom

Text: mḏḥ.w-Enp.w-khnt(.E)-tA-ḏsr zḥ.E-ntjr-Enp.w zkhn.w-pr-wr-stx ḥm-ntjr-EgA.E ḥqA-ntjr zA-3b.t ḥm-ntjr-sshA.t kh3i̯-bA.w-zkr rn-3A
Period: Old Kingdom

Text: ḥ(n)q.t nḏm skhp.t xnw-3.DU bn(E).t wAḏ(.t) qAE Erp Erp-wA dAb nbs w3ḥ Eshd sx.t wAḏ(.t) EArr.(w)t sx.t ḥḏ(.t)
Period: Old Kingdom

Now, classify this text:

Text: Eyi̯.n =E 3A r nEs r =k m wpw.t n.t Et =E kh(w)fw mA3-khrw wnm =k shpss n(.E) ḏḏ nswt ḏfA.w n(.E) Em.E.w.PL-shms.w =f

Answer:",Old Kingdom
